2025-08-27 22:03:48,127 | ultra_ai | INFO | logger.py:97 | Logging initialized - Level: INFO, File: ultra_ai_20250827_220348.log
2025-08-27 22:03:48,127 | ultra_ai | INFO | train.py:233 | ============================================================
2025-08-27 22:03:48,127 | ultra_ai | INFO | train.py:234 | ULTRA-AI POWER TRAINER
2025-08-27 22:03:48,127 | ultra_ai | INFO | train.py:235 | ============================================================
2025-08-27 22:03:48,127 | ultra_ai | INFO | train.py:236 | 🏗️ Architecture: ultra-ai-edge
2025-08-27 22:03:48,127 | ultra_ai | INFO | train.py:237 | 📊 Model Size: 512d, 50432 vocab
2025-08-27 22:03:48,127 | ultra_ai | INFO | train.py:238 | 🔄 Max Context: 512 tokens
2025-08-27 22:03:48,127 | ultra_ai | INFO | train.py:239 | ⚡ Device: cpu
2025-08-27 22:03:48,127 | ultra_ai | INFO | train.py:240 | 🎯 Batch Size: 8 (effective: 64)
2025-08-27 22:03:48,127 | ultra_ai | INFO | train.py:119 | 🚀 Ultra-AI Power Trainer Initialized!
2025-08-27 22:03:48,127 | ultra_ai | INFO | train.py:256 | 🏗️ Initializing Ultra-AI Model...
2025-08-27 22:03:53,469 | ultra_ai | INFO | train.py:266 | 📊 Model Parameters: 101,587,844
2025-08-27 22:03:53,469 | ultra_ai | INFO | train.py:267 | 💾 Model Memory: 387.5 MB
2025-08-27 22:03:53,469 | ultra_ai | INFO | train.py:268 | ⚡ Active Parameters: 13,511,183
2025-08-27 22:03:53,471 | src.utils.memory | INFO | memory.py:164 | Started memory monitoring
2025-08-27 22:03:53,471 | src.utils.checkpointing | INFO | checkpointing.py:339 | Discovered 0 existing checkpoints
2025-08-27 22:03:53,472 | src.utils.checkpointing | INFO | checkpointing.py:57 | CheckpointManager initialized: training_output\checkpoints
2025-08-27 22:03:53,472 | ultra_ai | INFO | train.py:313 | 🔧 Applying model optimizations...
2025-08-27 22:03:53,472 | ultra_ai | WARNING | train.py:340 | ⚠️ Quantization failed: DynamicQuantizer.__init__() missing 1 required positional argument: 'config'
2025-08-27 22:03:53,482 | ultra_ai | INFO | train.py:280 | ✅ Model and components initialized!
2025-08-27 22:03:53,482 | ultra_ai | INFO | train.py:344 | 📚 Creating datasets and data loaders...
